                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0148,                 1.8559,                 1.3539,                0.78971,                0.77222,                0.88511,                0.70915,                0.65826,                0.99447,                 1.1591,              0.0002556,              0.0002556,              0.0002556
                      2,                 0.9362,                 1.1083,                 1.3093,                0.85644,                0.79202,                 0.7897,                0.67893,                 0.5768,                0.92537,                 1.0572,             0.00049745,             0.00049745,             0.00049745
                      3,                0.89403,                0.96069,                 1.2694,                0.86843,                0.88687,                0.94511,                0.82978,                0.53807,                0.59113,                 1.0366,             0.00072481,             0.00072481,             0.00072481
                      4,                0.85251,                0.86264,                 1.2428,                0.93613,                0.91914,                0.96264,                0.85491,                0.50763,                0.46026,                  1.011,             0.00070374,             0.00070374,             0.00070374
                      5,                0.79187,                0.75542,                 1.1974,                0.93801,                0.93743,                0.96529,                0.87051,                  0.467,                 0.4207,                0.97484,             0.00070374,             0.00070374,             0.00070374
                      6,                0.75919,                0.69113,                 1.1706,                0.94573,                0.94628,                 0.9765,                0.88619,                0.46505,                0.35633,                0.98165,             0.00068199,             0.00068199,             0.00068199
                      7,                0.72769,                0.64669,                 1.1533,                 0.9391,                0.91314,                0.97159,                0.88169,                0.44136,                0.42164,                0.95829,             0.00066024,             0.00066024,             0.00066024
                      8,                0.70394,                0.61509,                  1.133,                0.92474,                0.91657,                0.96066,                0.87629,                0.44178,                0.40104,                0.95814,             0.00063849,             0.00063849,             0.00063849
                      9,                0.67667,                0.57572,                 1.1174,                0.95242,                0.94262,                0.97534,                0.89274,                0.44432,                0.32266,                0.94592,             0.00061674,             0.00061674,             0.00061674
                     10,                 0.6533,                0.55926,                 1.0997,                0.92916,                0.92901,                0.97081,                 0.9039,                0.40098,                0.37206,                 0.9319,             0.00059499,             0.00059499,             0.00059499
                     11,                0.64319,                0.54389,                 1.0953,                0.96157,                0.96322,                0.98259,                0.91895,                0.39944,                 0.2898,                0.93131,             0.00057323,             0.00057323,             0.00057323
                     12,                0.62898,                 0.5294,                 1.0871,                0.96068,                0.96223,                0.97882,                0.90886,                0.41318,                0.30055,                0.93593,             0.00055148,             0.00055148,             0.00055148
                     13,                0.60632,                0.50994,                 1.0716,                0.96961,                 0.9695,                0.98691,                0.92929,                0.37738,                0.25127,                0.91532,             0.00052973,             0.00052973,             0.00052973
                     14,                0.58813,                0.48313,                 1.0598,                0.96385,                0.96551,                0.98344,                 0.9237,                0.37647,                0.26354,                0.91797,             0.00050798,             0.00050798,             0.00050798
                     15,                0.57942,                0.47635,                 1.0517,                0.95778,                0.95645,                0.97581,                0.91664,                0.38069,                0.27836,                0.91717,             0.00048623,             0.00048623,             0.00048623
                     16,                0.57239,                0.45141,                 1.0492,                0.96034,                  0.964,                0.98108,                 0.9193,                0.39498,                0.27919,                 0.9252,             0.00046448,             0.00046448,             0.00046448
                     17,                0.55987,                0.45173,                 1.0399,                0.97627,                0.96414,                0.98309,                0.92376,                0.39189,                0.25306,                0.91675,             0.00044272,             0.00044272,             0.00044272
                     18,                0.54947,                0.43457,                 1.0347,                0.95526,                0.96626,                0.98251,                0.92864,                0.36756,                0.26671,                0.90741,             0.00042097,             0.00042097,             0.00042097
